member_id,age_band,region,plan_type,digital_affinity_score,baseline_propensity,eligible,treated,avg_points_pre,avg_points_post,avg_steps_pre,avg_steps_post,avg_listen_pre,avg_listen_post,points_uplift,steps_uplift_k,listen_uplift,active_flag,churn_flag,reason_code
1,25-34,Mpumalanga,Executive,71,-1.97,0,0,39.25,44.625,5.906666666666666,4.25625,112.525,68.4625,5.38,-1.65,-44.06,1,0,
2,25-34,Eastern Cape,Classic,53,-0.724,1,0,162.0,153.5,4.1274999999999995,4.98625,65.6,94.2,-8.5,0.86,28.6,0,0,
3,25-34,Gauteng,Executive,53,1.479,1,0,155.5,77.5,5.6425,4.46,207.625,69.975,-78.0,-1.18,-137.65,0,0,
4,25-34,Eastern Cape,Essential,74,-0.038,0,0,68.0,98.25,8.356666666666667,5.9425,67.975,91.7625,30.25,-2.41,23.79,1,0,
5,55-64,Free State,Plus,49,0.93,1,0,82.75,90.875,4.7775,5.8275,55.35,90.9125,8.12,1.05,35.56,1,0,
6,45-54,Gauteng,Essential,14,-0.704,0,0,76.75,73.0,7.01,6.87,29.450000000000003,40.7125,-3.75,-0.14,11.26,1,0,
7,35-44,KwaZulu-Natal,Plus,44,-0.925,1,0,44.0,29.25,4.223333333333334,2.5585714285714283,93.625,83.73749999999998,-14.75,-1.66,-9.89,1,0,
8,25-34,Western Cape,Plus,29,0.156,0,0,71.75,75.125,5.903333333333333,4.957142857142857,0.0,16.825,3.38,-0.95,16.82,0,0,
9,35-44,Western Cape,Classic,51,-0.532,0,0,84.0,80.25,4.4575,4.688571428571429,0.0,0.0,-3.75,0.23,0.0,0,0,
10,18-24,Gauteng,Classic,15,1.242,1,0,115.5,141.625,7.727499999999999,7.217499999999999,0.0,0.0,26.12,-0.51,0.0,1,0,
11,55-64,Western Cape,Plus,32,3.0,1,0,182.0,167.75,6.9425,6.22,0.0,0.0,-14.25,-0.72,0.0,0,0,
12,18-24,Eastern Cape,Classic,58,1.809,1,0,135.75,166.125,9.043333333333333,7.9875,57.25,105.5625,30.38,-1.06,48.31,0,0,
13,35-44,Gauteng,Classic,67,0.585,1,0,154.5,131.0,7.630000000000001,7.435714285714285,107.25,142.4625,-23.5,-0.19,35.21,1,0,
14,18-24,KwaZulu-Natal,Classic,45,-3.0,0,0,59.25,52.625,4.375,4.1466666666666665,118.64999999999999,64.16250000000001,-6.62,-0.23,-54.49,1,0,
15,35-44,KwaZulu-Natal,Classic,57,0.902,0,0,171.5,164.0,9.4425,9.535,55.475,0.0,-7.5,0.09,-55.48,0,0,
16,35-44,KwaZulu-Natal,Classic,16,1.454,0,0,205.75,191.25,9.579999999999998,8.1725,24.925,0.0,-14.5,-1.41,-24.92,0,0,
17,25-34,KwaZulu-Natal,Essential,49,-0.243,1,1,146.25,95.875,9.165,8.876666666666667,194.775,112.91250000000001,-50.38,-0.29,-81.86,0,0,
18,55-64,Gauteng,Essential,68,0.363,0,0,159.5,145.375,6.22,6.648571428571429,0.0,0.0,-14.12,0.43,0.0,0,0,
19,35-44,Eastern Cape,Classic,57,0.696,0,0,120.75,92.375,4.69,5.0,44.475,0.0,-28.38,0.31,-44.48,1,0,
20,65+,KwaZulu-Natal,Executive,50,-0.668,1,0,103.25,63.75,5.1025,4.685714285714286,37.15,0.0,-39.5,-0.42,-37.15,1,0,
21,35-44,North West,Essential,32,-0.516,1,1,24.5,69.75,2.8433333333333337,3.422857142857143,78.35,90.61250000000001,45.25,0.58,12.26,1,0,
22,25-34,Mpumalanga,Executive,28,0.179,1,1,49.5,55.375,3.03,2.0149999999999997,32.65,115.42499999999998,5.88,-1.02,82.77,0,0,
23,25-34,Free State,Essential,37,0.838,1,1,94.0,116.75,5.9433333333333325,6.271666666666667,56.975,52.03750000000001,22.75,0.33,-4.94,1,0,
24,25-34,North West,Essential,62,-0.902,0,0,58.0,80.5,4.3375,4.4425,44.475,91.95,22.5,0.1,47.48,1,0,
25,45-54,North West,Essential,26,-1.217,1,0,84.0,96.75,4.876666666666666,5.125,29.65,0.0,12.75,0.25,-29.65,0,0,
26,35-44,Free State,Essential,38,-0.817,1,0,125.0,93.5,3.6649999999999996,3.912857142857143,0.0,14.6125,-31.5,0.25,14.61,0,0,
27,35-44,KwaZulu-Natal,Essential,69,0.318,1,0,121.0,109.0,3.915,4.640000000000001,86.225,128.58749999999998,-12.0,0.73,42.36,0,0,
28,35-44,Mpumalanga,Essential,43,-1.382,1,0,56.5,76.25,3.14,3.97125,84.57499999999999,61.375,19.75,0.83,-23.2,1,0,
29,18-24,Mpumalanga,Essential,36,0.677,0,0,132.75,132.375,5.705,5.609999999999999,35.9,13.325,-0.38,-0.1,-22.58,1,0,
30,55-64,Gauteng,Plus,23,1.261,0,0,171.25,131.125,8.003333333333334,6.533333333333334,0.0,14.3125,-40.12,-1.47,14.31,0,0,
31,45-54,Mpumalanga,Classic,34,0.867,1,1,160.5,166.5,11.525,12.24375,103.44999999999999,65.9375,6.0,0.72,-37.51,0,0,
32,55-64,Northern Cape,Executive,47,-1.268,0,0,87.5,108.875,7.6,5.907500000000001,75.475,18.2,21.38,-1.69,-57.27,1,0,
33,25-34,Gauteng,Plus,55,0.988,0,0,189.75,125.5,5.61,4.7875,36.525,111.4625,-64.25,-0.82,74.94,1,0,
34,45-54,Western Cape,Plus,29,-0.628,0,0,114.0,97.0,5.78,5.613333333333333,0.0,15.575,-17.0,-0.17,15.58,1,0,
35,35-44,Free State,Classic,66,-0.37,0,0,85.25,86.25,3.3200000000000003,3.9014285714285717,0.0,54.5375,1.0,0.58,54.54,1,0,
36,25-34,Gauteng,Essential,32,-0.398,0,0,76.75,91.375,4.746666666666667,6.062857142857142,55.225,69.26249999999999,14.62,1.32,14.04,1,0,
37,25-34,KwaZulu-Natal,Essential,42,0.187,0,0,62.75,127.75,6.78,8.182857142857143,72.925,80.7625,65.0,1.4,7.84,0,0,
38,65+,Free State,Essential,45,1.521,1,0,235.25,194.0,10.940000000000001,11.525,52.775,0.0,-41.25,0.58,-52.78,1,0,
39,65+,KwaZulu-Natal,Essential,53,-0.93,0,0,103.75,140.625,8.16,8.32875,183.55,89.375,36.88,0.17,-94.18,0,0,
40,55-64,North West,Plus,49,0.26,0,0,96.0,115.375,6.375,6.123749999999999,0.0,16.3625,19.38,-0.25,16.36,1,0,
41,25-34,Limpopo,Classic,0,-1.527,1,0,33.25,35.375,2.3925,2.5100000000000002,0.0,22.55,2.12,0.12,22.55,0,0,
42,25-34,KwaZulu-Natal,Essential,73,0.236,1,1,120.0,159.5,7.73,7.961428571428571,251.10000000000002,173.6875,39.5,0.23,-77.41,0,0,
43,25-34,Gauteng,Essential,55,0.418,0,0,127.0,111.875,4.4825,4.275,0.0,15.2375,-15.12,-0.21,15.24,0,0,
44,35-44,Mpumalanga,Classic,66,1.099,1,0,162.75,140.625,8.799999999999999,8.78625,0.0,0.0,-22.12,-0.01,0.0,0,0,
45,25-34,KwaZulu-Natal,Plus,64,-1.068,1,0,73.25,115.75,7.573333333333333,7.922499999999999,181.875,155.0375,42.5,0.35,-26.84,0,0,
46,45-54,KwaZulu-Natal,Essential,60,-0.467,1,1,41.5,41.75,3.7975,3.50375,177.82500000000002,78.6625,0.25,-0.29,-99.16,0,0,
47,25-34,KwaZulu-Natal,Classic,59,-1.812,0,0,66.0,67.875,3.3999999999999995,4.38,154.875,88.9625,1.88,0.98,-65.91,0,0,
48,45-54,Western Cape,Classic,25,-2.038,1,0,46.25,75.25,6.3066666666666675,6.04875,0.0,9.2,29.0,-0.26,9.2,0,1,price_sensitivity
49,45-54,Limpopo,Plus,41,0.455,1,0,167.25,144.875,6.2700000000000005,6.1,82.225,96.7375,-22.38,-0.17,14.51,0,0,
50,25-34,Limpopo,Essential,27,-0.44,1,1,100.25,95.625,6.126666666666666,6.805714285714286,159.05,120.27499999999999,-4.62,0.68,-38.78,0,0,
51,55-64,Eastern Cape,Essential,77,1.392,1,1,208.0,175.5,8.71,7.814285714285712,195.55,203.66250000000002,-32.5,-0.9,8.11,1,0,
52,25-34,North West,Plus,41,-0.753,1,1,105.0,82.375,3.5324999999999998,4.26375,95.1,66.325,-22.62,0.73,-28.77,1,0,
53,35-44,Mpumalanga,Classic,52,0.496,1,0,140.0,128.5,8.3475,7.7525,0.0,13.55,-11.5,-0.59,13.55,1,0,
54,45-54,Gauteng,Essential,30,-0.762,1,0,99.25,90.75,7.81,6.5525,40.725,0.0,-8.5,-1.26,-40.72,1,0,
55,55-64,Gauteng,Classic,50,1.569,0,0,177.0,167.25,5.9624999999999995,6.9075,42.925,72.575,-9.75,0.95,29.65,1,0,
56,35-44,Gauteng,Classic,64,-0.484,0,0,118.25,129.125,4.715,3.4525,0.0,18.0125,10.88,-1.26,18.01,1,0,
57,25-34,Limpopo,Classic,49,0.559,1,1,136.75,141.0,7.2425,6.317500000000001,111.425,61.4,4.25,-0.92,-50.02,1,0,
58,45-54,Free State,Plus,34,0.581,1,0,123.5,113.0,6.532500000000001,7.223333333333334,0.0,0.0,-10.5,0.69,0.0,0,0,
59,35-44,Free State,Classic,59,-0.109,0,0,104.0,54.375,1.1125,1.996,0.0,0.0,-49.62,0.88,0.0,0,0,
60,25-34,Gauteng,Essential,72,1.037,0,0,112.0,107.125,6.2925,5.40125,90.2,22.8,-4.88,-0.89,-67.4,0,0,
61,45-54,Limpopo,Essential,83,0.642,0,0,95.75,93.5,6.0875,6.42625,68.0,83.425,-2.25,0.34,15.42,0,0,
62,35-44,KwaZulu-Natal,Plus,66,0.292,1,0,94.0,78.125,4.132499999999999,3.4675000000000002,0.0,24.325,-15.88,-0.66,24.32,0,0,
63,25-34,Western Cape,Essential,62,0.593,0,0,129.75,162.75,7.4174999999999995,7.566249999999999,69.025,0.0,33.0,0.15,-69.03,0,0,
64,45-54,Western Cape,Plus,51,-0.156,1,1,100.75,125.5,1.3225,2.1237500000000002,66.9,179.575,24.75,0.8,112.67,1,0,
65,18-24,Eastern Cape,Plus,52,1.392,1,1,90.25,114.875,4.305,4.88,68.175,143.4625,24.62,0.58,75.29,0,0,
66,25-34,Gauteng,Classic,46,-0.655,0,0,167.75,125.75,7.1875,5.071428571428571,0.0,16.775,-42.0,-2.12,16.77,0,0,
67,55-64,KwaZulu-Natal,Plus,19,-0.611,0,0,125.5,116.625,6.865,6.04,17.5,22.0875,-8.88,-0.83,4.59,1,0,
68,35-44,Free State,Classic,11,0.446,1,0,115.0,122.5,5.615,4.82125,26.6,0.0,7.5,-0.79,-26.6,0,0,
69,35-44,Gauteng,Classic,51,0.411,1,0,127.25,120.5,7.8375,8.0325,82.42500000000001,118.51249999999999,-6.75,0.2,36.09,0,0,
70,55-64,North West,Essential,2,-0.138,1,0,49.25,56.125,3.1633333333333336,3.0324999999999998,0.0,0.0,6.88,-0.13,0.0,0,0,
71,55-64,Free State,Plus,13,-0.594,1,0,74.5,101.25,3.3866666666666667,3.6187500000000004,47.95,21.8,26.75,0.23,-26.15,0,0,
72,25-34,KwaZulu-Natal,Classic,38,0.582,1,0,87.0,156.0,7.0600000000000005,7.65,0.0,0.0,69.0,0.59,0.0,1,0,
73,35-44,Mpumalanga,Classic,53,-0.786,0,0,63.5,95.625,4.08,4.72875,89.9,26.5125,32.12,0.65,-63.39,1,0,
