member_id,event_date,reward_id,event_type,points_spent
2,2025-10-20,1,eligible,0
3,2025-10-20,1,eligible,0
5,2025-10-20,1,eligible,0
7,2025-10-20,1,eligible,0
10,2025-10-20,1,eligible,0
11,2025-10-20,1,eligible,0
12,2025-10-20,1,eligible,0
13,2025-10-20,1,eligible,0
17,2025-10-20,1,eligible,0
20,2025-10-20,1,eligible,0
21,2025-10-20,1,eligible,0
22,2025-10-20,1,eligible,0
23,2025-10-20,1,eligible,0
25,2025-10-20,1,eligible,0
26,2025-10-20,1,eligible,0
27,2025-10-20,1,eligible,0
28,2025-10-20,1,eligible,0
31,2025-10-20,1,eligible,0
38,2025-10-20,1,eligible,0
41,2025-10-20,1,eligible,0
42,2025-10-20,1,eligible,0
44,2025-10-20,1,eligible,0
45,2025-10-20,1,eligible,0
46,2025-10-20,1,eligible,0
48,2025-10-20,1,eligible,0
49,2025-10-20,1,eligible,0
50,2025-10-20,1,eligible,0
51,2025-10-20,1,eligible,0
52,2025-10-20,1,eligible,0
53,2025-10-20,1,eligible,0
54,2025-10-20,1,eligible,0
57,2025-10-20,1,eligible,0
58,2025-10-20,1,eligible,0
62,2025-10-20,1,eligible,0
64,2025-10-20,1,eligible,0
65,2025-10-20,1,eligible,0
68,2025-10-20,1,eligible,0
69,2025-10-20,1,eligible,0
70,2025-10-20,1,eligible,0
71,2025-10-20,1,eligible,0
72,2025-10-20,1,eligible,0
80,2025-10-20,1,eligible,0
82,2025-10-20,1,eligible,0
83,2025-10-20,1,eligible,0
86,2025-10-20,1,eligible,0
89,2025-10-20,1,eligible,0
91,2025-10-20,1,eligible,0
95,2025-10-20,1,eligible,0
96,2025-10-20,1,eligible,0
97,2025-10-20,1,eligible,0
102,2025-10-20,1,eligible,0
105,2025-10-20,1,eligible,0
107,2025-10-20,1,eligible,0
109,2025-10-20,1,eligible,0
111,2025-10-20,1,eligible,0
114,2025-10-20,1,eligible,0
115,2025-10-20,1,eligible,0
119,2025-10-20,1,eligible,0
120,2025-10-20,1,eligible,0
125,2025-10-20,1,eligible,0
126,2025-10-20,1,eligible,0
128,2025-10-20,1,eligible,0
130,2025-10-20,1,eligible,0
135,2025-10-20,1,eligible,0
140,2025-10-20,1,eligible,0
141,2025-10-20,1,eligible,0
142,2025-10-20,1,eligible,0
144,2025-10-20,1,eligible,0
146,2025-10-20,1,eligible,0
147,2025-10-20,1,eligible,0
149,2025-10-20,1,eligible,0
152,2025-10-20,1,eligible,0
154,2025-10-20,1,eligible,0
155,2025-10-20,1,eligible,0
158,2025-10-20,1,eligible,0
159,2025-10-20,1,eligible,0
163,2025-10-20,1,eligible,0
164,2025-10-20,1,eligible,0
165,2025-10-20,1,eligible,0
168,2025-10-20,1,eligible,0
170,2025-10-20,1,eligible,0
171,2025-10-20,1,eligible,0
175,2025-10-20,1,eligible,0
176,2025-10-20,1,eligible,0
178,2025-10-20,1,eligible,0
181,2025-10-20,1,eligible,0
182,2025-10-20,1,eligible,0
185,2025-10-20,1,eligible,0
187,2025-10-20,1,eligible,0
189,2025-10-20,1,eligible,0
190,2025-10-20,1,eligible,0
194,2025-10-20,1,eligible,0
195,2025-10-20,1,eligible,0
196,2025-10-20,1,eligible,0
200,2025-10-20,1,eligible,0
202,2025-10-20,1,eligible,0
204,2025-10-20,1,eligible,0
207,2025-10-20,1,eligible,0
209,2025-10-20,1,eligible,0
210,2025-10-20,1,eligible,0
213,2025-10-20,1,eligible,0
214,2025-10-20,1,eligible,0
215,2025-10-20,1,eligible,0
216,2025-10-20,1,eligible,0
217,2025-10-20,1,eligible,0
221,2025-10-20,1,eligible,0
224,2025-10-20,1,eligible,0
225,2025-10-20,1,eligible,0
226,2025-10-20,1,eligible,0
227,2025-10-20,1,eligible,0
230,2025-10-20,1,eligible,0
233,2025-10-20,1,eligible,0
234,2025-10-20,1,eligible,0
235,2025-10-20,1,eligible,0
236,2025-10-20,1,eligible,0
237,2025-10-20,1,eligible,0
238,2025-10-20,1,eligible,0
242,2025-10-20,1,eligible,0
243,2025-10-20,1,eligible,0
244,2025-10-20,1,eligible,0
245,2025-10-20,1,eligible,0
248,2025-10-20,1,eligible,0
249,2025-10-20,1,eligible,0
250,2025-10-20,1,eligible,0
251,2025-10-20,1,eligible,0
254,2025-10-20,1,eligible,0
255,2025-10-20,1,eligible,0
256,2025-10-20,1,eligible,0
257,2025-10-20,1,eligible,0
258,2025-10-20,1,eligible,0
259,2025-10-20,1,eligible,0
260,2025-10-20,1,eligible,0
261,2025-10-20,1,eligible,0
263,2025-10-20,1,eligible,0
267,2025-10-20,1,eligible,0
268,2025-10-20,1,eligible,0
269,2025-10-20,1,eligible,0
271,2025-10-20,1,eligible,0
272,2025-10-20,1,eligible,0
275,2025-10-20,1,eligible,0
277,2025-10-20,1,eligible,0
278,2025-10-20,1,eligible,0
281,2025-10-20,1,eligible,0
282,2025-10-20,1,eligible,0
284,2025-10-20,1,eligible,0
286,2025-10-20,1,eligible,0
287,2025-10-20,1,eligible,0
288,2025-10-20,1,eligible,0
289,2025-10-20,1,eligible,0
291,2025-10-20,1,eligible,0
294,2025-10-20,1,eligible,0
296,2025-10-20,1,eligible,0
298,2025-10-20,1,eligible,0
299,2025-10-20,1,eligible,0
300,2025-10-20,1,eligible,0
302,2025-10-20,1,eligible,0
309,2025-10-20,1,eligible,0
312,2025-10-20,1,eligible,0
313,2025-10-20,1,eligible,0
314,2025-10-20,1,eligible,0
315,2025-10-20,1,eligible,0
317,2025-10-20,1,eligible,0
318,2025-10-20,1,eligible,0
319,2025-10-20,1,eligible,0
320,2025-10-20,1,eligible,0
321,2025-10-20,1,eligible,0
324,2025-10-20,1,eligible,0
326,2025-10-20,1,eligible,0
327,2025-10-20,1,eligible,0
329,2025-10-20,1,eligible,0
331,2025-10-20,1,eligible,0
333,2025-10-20,1,eligible,0
334,2025-10-20,1,eligible,0
335,2025-10-20,1,eligible,0
339,2025-10-20,1,eligible,0
342,2025-10-20,1,eligible,0
343,2025-10-20,1,eligible,0
344,2025-10-20,1,eligible,0
345,2025-10-20,1,eligible,0
346,2025-10-20,1,eligible,0
348,2025-10-20,1,eligible,0
349,2025-10-20,1,eligible,0
350,2025-10-20,1,eligible,0
351,2025-10-20,1,eligible,0
352,2025-10-20,1,eligible,0
353,2025-10-20,1,eligible,0
354,2025-10-20,1,eligible,0
355,2025-10-20,1,eligible,0
358,2025-10-20,1,eligible,0
359,2025-10-20,1,eligible,0
362,2025-10-20,1,eligible,0
363,2025-10-20,1,eligible,0
364,2025-10-20,1,eligible,0
365,2025-10-20,1,eligible,0
367,2025-10-20,1,eligible,0
368,2025-10-20,1,eligible,0
369,2025-10-20,1,eligible,0
374,2025-10-20,1,eligible,0
376,2025-10-20,1,eligible,0
377,2025-10-20,1,eligible,0
378,2025-10-20,1,eligible,0
379,2025-10-20,1,eligible,0
381,2025-10-20,1,eligible,0
383,2025-10-20,1,eligible,0
384,2025-10-20,1,eligible,0
386,2025-10-20,1,eligible,0
387,2025-10-20,1,eligible,0
388,2025-10-20,1,eligible,0
389,2025-10-20,1,eligible,0
394,2025-10-20,1,eligible,0
